name,x,y,z
Saimiri oerstedii oerstedii,-34.666563843075096,27.03666027765432,73.75492
Saimiri oerstedii citrinellus,-34.36870927626134,27.175042362489272,73.75492
Saimiri boliviensis boliviensis,-32.636605610919105,29.050647447097283,73.75492
Saimiri boliviensis peruviensis,-31.98848467175839,29.95187072159044,73.75492
Saimiri boliviensis,-32.504787581192616,29.305470672149763,73.75492
Saimiri sciureus,-32.87814964192094,28.85063528018373,73.75492
Saimiri sciureus macrodon,-31.61638200708112,31.0963586869756,73.75492
Saimiri sciureus sciureus,-33.79644141448993,28.747165091998696,73.75492
Saimiri oerstedii,-34.05956234141855,27.377516111853843,73.75492
Ateles paniscus,-21.39566696016441,19.859323806781227,73.75492
Ateles hybridus,-17.819768481968502,21.41979887033044,73.75491999999998
Ateles belzebuth,-19.06355955629002,21.08518841130156,73.75491999999998
Ateles fusciceps,-19.553123075614696,20.87557004530765,73.75491999999998
Ateles geoffroyi,-22.29520969344152,21.05684877319533,73.75492
Brachyteles arachnoides,-27.23910566108089,19.022778690941607,73.75491999999998
Lagothrix lagotricha,-9.8076410543278,29.02426730706801,73.75491999999998
Alouatta seniculus,-24.74516405489456,34.203839031943936,73.75497
Alouatta caraya,-25.46466282587722,35.31775338894315,73.75497
Alouatta guariba clamitans,-22.84795603137136,34.880180612339885,73.75496999999999
Hoolock hoolock,22.11701700331726,34.38967139602718,73.75496
Hoolock leuconedys,22.07407544855613,35.45369583067356,73.75496
Hoolock leuconedys x Hoolock tianxing,22.17877974224448,36.19626080896838,73.75496
Hoolock tianxing,22.17877974224444,36.196260808968375,73.75496
Symphalangus syndactylus,20.085815536219837,31.77999108046312,73.75496
Hylobates pileatus,24.71979935354064,34.61470838857604,73.75495999999998
Hylobates lar,15.967905497921164,38.74796455332348,73.75495999999998
Hylobates agilis,15.902569323044291,37.597646821351965,73.75495999999998
Hylobates muelleri,17.8165088980732,38.42999804836338,73.75495999999998
Hylobates moloch,18.58932155331713,37.67654781033024,73.75495999999998
Hylobates klossii,18.359874828666705,35.679919028447706,73.75495999999998
Nomascus leucogenys,23.346968821363724,31.03955273974709,73.75496
Nomascus siki,23.8863780631816,31.26847438412583,73.75496
Nomascus gabriellae,25.715266234910175,32.68670640719411,73.75496
Nomascus concolor,25.6848793795844,31.61642089199284,73.75496
Gorilla gorilla gorilla,7.955180574725825,17.92166067301008,73.75492
Gorilla beringei graueri,8.69701567777422,20.76590226829284,73.75492
Gorilla gorilla,7.86837948965068,17.552944771810974,73.75492
Gorilla beringei,8.697015678221556,20.765902270673227,73.75492
Homo denisova,11.378275672267971,33.86617403195726,73.75492
Homo neanderthalensis,10.734021740798346,25.038557557267143,73.75492
Homo sapiens,10.478898054528376,30.552405288433075,73.75492
Pan paniscus,14.013562261988325,32.00307076489848,73.75492
Pan troglodytes troglodytes,13.60348224028617,28.9098708386462,73.75492000000001
Pan troglodytes schweinfurthii,13.695861869401298,29.713812437110388,73.75492000000001
Pan troglodytes ellioti,14.983932760390756,28.33522599586888,73.75492
Pan troglodytes verus,14.58423826065189,27.512009956595545,73.75492
Pan troglodytes,14.57342023508938,27.634037372559668,73.75492
Pongo pygmaeus,14.194919847900524,17.909033205411216,73.75492
Pongo abelii,11.505738966281,12.353524390492677,73.75492
Chlorocebus cynosuros,32.434302541535686,-7.611106962899765,73.75491999999998
Chlorocebus tantalus,31.613856605662143,-11.4178141653631,73.75491999999998
Chlorocebus aethiops,31.81841718727144,-10.026789592800483,73.75491999999998
Chlorocebus pygerythrus,32.22150069853672,-9.249824648415515,73.75491999999998
Chlorocebus sabaeus,31.65581244357156,-14.17464098079372,73.75491999999998
Chlorocebus aethiops x Chlorocebus pygerythrus,30.49225915700936,-5.90276480550888,73.75491999999998
Chlorocebus djamdjamensis,32.94761532578027,-15.685840705712176,73.75491999999998
Cercopithecus campbelli,21.377777555244744,-6.937938372798895,73.75491999999998
Erythrocebus patas,25.659774052265263,-2.7608775491935758,73.75492
Cercopithecus preussi insularis,30.860422426919072,-31.046328085958372,73.75492
Cercopithecus albogularis kolbi,38.86017968002931,-7.97996290137738,73.75492
Cercopithecus pogonias schwarzianus,21.88176771581082,-14.197594523631029,73.75492
Cercopithecus pogonias pogonias,22.879745426111075,-12.319864038241631,73.75492
Cercopithecus mitis opisthostictus,38.88233439127802,-17.64688179305772,73.75492
Cercopithecus mitis boutourlinii,41.39538967651172,-7.84943974673428,73.75492
Cercopithecus cephus,31.42911792938567,-27.84183907493886,73.75492
Cercopithecus pogonias nigripes,22.53474557027277,-10.616850509641974,73.75492
Cercopithecus wolfi,25.41934976589795,-17.642467318454745,73.75492
Cercopithecus petaurista,29.39806921861769,-29.33891977435924,73.75492
Cercopithecus albogularis moloneyi,40.03013859450007,-9.46089920346699,73.75492
Cercopithecus nictitans martini,23.79755333026105,-18.08505036858312,73.75492
Cercopithecus mitis mitis,41.38269533152231,-12.42737641080713,73.75492
Cercopithecus erythrogaster,27.955680012190363,-30.57637672774104,73.75492
Cercopithecus mitis heymansi,39.50386486435752,-13.778199516686984,73.75492
Cercopithecus albogularis,40.786123000646064,-10.02641657908081,73.75492
Cercopithecus lhoesti,33.78565513001513,-27.14190247316114,73.75492
Cercopithecus nictitans,37.17950229999794,-16.468204467993974,73.75492
Cercopithecus doggetti,38.53065033029585,-12.847162665854764,73.75492
Cercopithecus cephus ngottoensis,33.722339695172806,-24.76364699036108,73.75492
Cercopithecus mitis,40.02278247666097,-10.111833166955437,73.75492
Cercopithecus ascanius,30.01411117365328,-26.530843703098387,73.75492
Cercopithecus mitis stuhlmanni,38.92990953437776,-15.042798513433503,73.75492
Cercopithecus pogonias,23.489259525266714,-14.028246486550469,73.75492
Cercopithecus albogularis albotorquatus,41.25536832524098,-9.186421118010957,73.75492
Allochrocebus lhoesti,33.861970633416185,-26.89386931073492,73.75492
Cercopithecus erythrogaster pococki,27.385558200772607,-29.38529197188596,73.75491999999998
Cercopithecus erythrotis erythrotis,34.434443895682335,-23.566796098446964,73.75491999999998
Cercopithecus erythrotis camerunensis,32.65111893335365,-23.32661569146704,73.75491999999998
Cercopithecus ascanius schmidti,30.01116614173411,-25.349099484165038,73.75492
Cercopithecus ascanius katangae,29.04702227582478,-25.68790914698334,73.75492
Cercopithecus ascanius ascanius,29.77887243328481,-24.015587998617395,73.75492
Cercopithecus petaurista petaurista,28.398595934522653,-27.99066151837309,73.75491999999998
Cercopithecus nictitans nictitans,37.31781030245806,-18.185861451239315,73.75491999999998
Cercopithecus kandti,38.44376860647184,-12.404237379887896,73.75491999999998
Cercopithecus diana,20.979431182397004,-0.0526197108676749,73.75491999999998
Cercopithecus roloway,41.32968357041808,-3.597121127607075,73.75491999999998
Cercopithecus mona,24.903813586346757,-10.29307936009362,73.75491999999998
Cercopithecus denti,24.37069359960304,-16.90442369262922,73.75491999999998
Cercopithecus neglectus,25.728390086271517,-33.25055560257057,73.75491999999997
Cercopithecus hamlyni,41.5768596751359,-16.65405765376255,73.75491999999998
Miopithecus talapoin,15.11949045242192,-3.4292983768670395,73.75491999999998
Miopithecus ogouensis,14.389914508229843,-2.397253298020055,73.75491999999998
Allenopithecus nigroviridis,26.98491983934162,0.96171665010391,73.75491999999998
Rungwecebus kipunji,34.359871382694664,20.37244765505152,73.75491999999998
Papio kindae,35.3240701715088,24.399284858986555,73.75491999999998
Papio papio,36.160766541201056,23.584651524337268,73.75491999999998
Papio ursinus,35.270652568410874,22.08205613985808,73.75491999999998
Papio cynocephalus,34.36165221352792,23.11357750143132,73.75491999999998
Papio hamadryas,34.13052987957212,24.950478831293523,73.75491999999997
Papio anubis,34.21117758524159,24.11092170812157,73.75491999999997
Theropithecus gelada,31.7461940541422,22.245840765495917,73.75491999999997
Lophocebus aterrimus,36.931865257520094,18.72160872966949,73.75491999999998
Lophocebus albigena,34.61733414912298,16.91373179840299,73.75491999999998
Mandrillus sphinx,21.553275520793868,10.08470869797649,73.75491999999998
Mandrillus leucophaeus,23.084605147104917,11.94036256468514,73.75491999999998
Cercocebus agilis,23.11308813147085,13.87898035695773,73.75491999999998
Cercocebus chrysogaster,23.11308813147101,13.87898035695784,73.75491999999998
Cercocebus atys atys,25.426137927690185,17.773591309463985,73.75491999999998
Cercocebus torquatus,26.183698452477344,20.45202965049081,73.75491999999998
Cercocebus atys,26.61340407810002,15.843304868514554,73.75491999999998
Macaca sylvanus,27.45889745923238,8.152582881300425,73.75491999999998
Macaca thibetana,42.72194356104528,4.77044498060188,73.75491999999998
Macaca assamensis,43.03818438815982,3.331575072435755,73.75491999999998
Macaca sinica,42.591539078248935,9.951122190617726,73.75492
Macaca radiata,41.31370829080792,10.95598337766598,73.75491999999998
Macaca leucogenys,41.99271940094992,7.20861456396265,73.75491999999998
Macaca arctoides,31.447661787670533,6.512785559796639,73.75491999999998
Macaca mulatta vestita,37.27182507069946,11.19234660686519,73.75491999999997
Macaca mulatta brevicaudus,38.30505741834322,4.02390051090772,73.75491999999997
Macaca mulatta lasiotus,37.7336549341894,6.61649275911502,73.75491999999997
Macaca cyclopis,39.030147303526526,7.61080960646484,73.75491999999998
Macaca fuscata,37.59259415446362,9.393143329578985,73.75491999999997
Macaca fascicularis aureus,41.3287200892662,4.39316459861753,73.75491999999997
Macaca silenus,40.05956449796958,13.53235058571707,73.75491999999998
Macaca nemestrina,33.73267814753982,7.418956752448255,73.75491999999998
Macaca leonina,38.38945844916395,14.70713684967404,73.75491999999998
Macaca nigra,34.878249302848005,9.16862013849349,73.75492
Macaca tonkeana,39.41410483268049,16.015622832812966,73.75492
Macaca maura,32.757527315313936,13.88426949002928,73.75492
Macaca mulatta,36.451987649850416,7.937613089891735,73.75491999999998
Macaca fascicularis,36.00345409674992,4.40990699864327,73.75491999999998
Semnopithecus entellus,16.51222768126691,-32.71530162001165,73.75492
Trachypithecus johnii,16.00626068102558,-35.73171489450127,73.75492
Trachypithecus auratus,5.09729442901905,-23.15313141886659,73.75492
Trachypithecus vetulus,11.018560735855164,-34.357950302971005,73.75492
Trachypithecus phayrei phayrei,6.24935001372796,-31.56988347483355,73.75492000000001
Trachypithecus barbei,8.417620913406905,-29.922682113379377,73.75492000000001
Trachypithecus obscurus,9.839844831910144,-28.88343837945016,73.75492000000001
Trachypithecus cristatus,7.967094860766186,-23.68018278206336,73.75492000000001
Trachypithecus mauritius,4.609699244662685,-22.0248478465453,73.75492000000001
Trachypithecus germaini,7.113482982788605,-21.57654388842856,73.75492000000001
Trachypithecus francoisi,7.463330129850521,-26.55962290696171,73.75492
Trachypithecus poliocephalus,6.484194206797865,-27.72654055371544,73.75492
Trachypithecus delacouri,4.453949339670135,-28.67104942523236,73.75492
Trachypithecus hatinhensis,4.139651181671001,-27.01839608872435,73.75492
Trachypithecus phayrei crepuscula,10.426962278366725,-25.365134931615017,73.75492
Trachypithecus pileatus,8.255014040466005,-19.30141422617398,73.75492
Trachypithecus shortridgei,6.826006265306329,-18.23793587089481,73.75492
Presbytis comata comata,11.693938767533554,-40.810959935429125,73.75492
Presbytis femoralis femoralis,11.52259888617337,-38.3235863722507,73.75492
Presbytis melalophos,13.48078648444424,-38.11084649942896,73.75492
Presbytis melalophos mitrata,13.502946184059503,-40.52632840022979,73.75492
Simias concolor,3.007581881609895,-37.59227704970301,73.75492
Nasalis larvatus,5.03711970089338,-40.34906366647933,73.75492
Pygathrix nigripes,18.170745208398227,-37.75720495171269,73.75491999999998
Pygathrix nemaeus,18.09905135217649,-35.41494257737058,73.75491999999998
Rhinopithecus avunculus,8.01646747686599,-37.79156005987478,73.75491999999998
Rhinopithecus brelichi,7.265770795460755,-38.1597681999679,73.75491999999998
Rhinopithecus roxellana,5.97192438251569,-37.19728177337715,73.75491999999998
Rhinopithecus strykeri,13.02962370666522,-34.74189841302398,73.75491999999998
Rhinopithecus bieti,13.336111609726975,-33.50882840819591,73.75491999999998
Procolobus verus,5.854498122632745,-11.568399975760064,73.75492
Piliocolobus badius,1.5681048362494552,-32.98433816473717,73.75492
Colobus satanas,7.056648452804549,-2.946524862283505,73.75491999999998
Colobus angolensis palliatus,7.60668631488514,-42.393935207693815,73.75491999999998
Colobus polykomos,3.26476951979846,-41.023321212384,73.75491999999998
Colobus guereza,5.81964890204421,-6.028086346403695,73.75491999999998
Tarsius dentatus,-18.58775501821599,-8.177598646204764,73.75496999999999
Tarsius lariang,-20.042370991197465,-7.616078653639965,73.75497
Tarsius wallacei,-17.739426278946794,-11.199915816184657,73.75497
Tarsius syrichta,-31.3154238153366,8.28083047037669,73.75496999999999
Tarsius bancanus,-13.747245312702026,-20.778494653389004,73.75496999999999
Carlito syrichta,-31.11100570604173,8.09326024870443,73.75492
Cephalopachus bancanus,-13.747244638955916,-20.77849798674857,73.75492
Allocebus trichotis,-41.458634055487,7.62388351889863,73.75491540624971
